movie_title,director_name,duration,gross,genres,actor_1_name,actor_2_name,actor_3_name,language,country,content_rating,budget,title_year,imdb_score
Intolerance: Love's Struggle Throughout the Ages ,D.W. Griffith,123,,Drama|History|War,Lillian Gish,Mae Marsh,Walter Long,,USA,Not Rated,385907,1916,8
Over the Hill to the Poorhouse ,Harry F. Millarde,110,3000000,Crime|Drama,Stephen Carr,Johnnie Walker,Mary Carr,,USA,,100000,1920,4.8
The Big Parade ,King Vidor,151,,Drama|Romance|War,John Gilbert,Renée Adorée,Claire Adams,,USA,Not Rated,245000,1925,8.3
Metropolis ,Fritz Lang,145,26435,Drama|Sci-Fi,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,German,Germany,Not Rated,6000000,1927,8.3
Pandora's Box ,Georg Wilhelm Pabst,110,9950,Crime|Drama|Romance,Louise Brooks,Francis Lederer,Fritz Kortner,German,Germany,Not Rated,,1929,8
The Broadway Melody ,Harry Beaumont,100,2808000,Musical|Romance,Anita Page,Bessie Love,Charles King,English,USA,Passed,379000,1929,6.3
Hell's Angels ,Howard Hughes,96,,Drama|War,Jean Harlow,Marian Marsh,James Hall,English,USA,Passed,3950000,1930,7.8
A Farewell to Arms ,Frank Borzage,79,,Drama|Romance|War,Gary Cooper,Helen Hayes,Adolphe Menjou,English,USA,Unrated,800000,1932,6.6
42nd Street ,Lloyd Bacon,89,2300000,Comedy|Musical|Romance,Ginger Rogers,Dick Powell,George Brent,English,USA,Unrated,439000,1933,7.7
She Done Him Wrong ,Lowell Sherman,66,,Comedy|Drama|History|Musical|Romance,Mae West,Gilbert Roland,Louise Beavers,English,USA,Approved,200000,1933,6.5
It Happened One Night ,Frank Capra,65,,Comedy|Romance,Claudette Colbert,Alan Hale,Walter Connolly,English,USA,Unrated,325000,1934,8.2
Top Hat ,Mark Sandrich,81,3000000,Comedy|Musical|Romance,Ginger Rogers,Edward Everett Horton,Eric Blore,English,USA,Approved,609000,1935,7.8
Modern Times ,Charles Chaplin,87,163245,Comedy|Drama|Family,Paulette Goddard,Stanley Blystone,Fred Malatesta,English,USA,G,1500000,1936,8.6
The Charge of the Light Brigade ,Michael Curtiz,100,,Action|Adventure|Romance|War,Errol Flynn,David Niven,Spring Byington,English,USA,Approved,1200000,1936,7.1
The Prisoner of Zenda ,John Cromwell,101,,Adventure|Drama|Romance,David Niven,Mary Astor,Ronald Colman,English,USA,Approved,,1937,7.8
Snow White and the Seven Dwarfs ,William Cottrell,83,184925485,Animation|Family|Fantasy|Musical,Adriana Caselotti,Billy Gilbert,Lucille La Verne,English,USA,Approved,2000000,1937,7.7
Alexander's Ragtime Band ,Henry King,106,,Drama|Musical|Romance,Tyrone Power,Don Ameche,John Carradine,English,USA,Approved,2000000,1938,7
You Can't Take It with You ,Frank Capra,126,,Comedy|Drama|Romance,Jean Arthur,Ann Miller,Lionel Barrymore,English,USA,Approved,1644736,1938,8
Gone with the Wind ,Victor Fleming,226,198655278,Drama|History|Romance|War,Hattie McDaniel,George Reeves,Thomas Mitchell,English,USA,G,3977000,1939,8.2
The Wizard of Oz ,Victor Fleming,102,22202612,Adventure|Family|Fantasy|Musical,Margaret Hamilton,Terry,Billie Burke,English,USA,Passed,2800000,1939,8.1
Mr. Smith Goes to Washington ,Frank Capra,120,,Comedy|Drama,Claude Rains,Jean Arthur,Thomas Mitchell,English,USA,Not Rated,1500000,1939,8.2
Pinocchio ,Norman Ferguson,88,84300000,Animation|Family|Fantasy|Musical,Mel Blanc,Dickie Jones,Cliff Edwards,English,USA,Approved,2600000,1940,7.5
Fantasia ,James Algar,120,76400000,Animation|Family|Fantasy|Music,Leopold Stokowski,Deems Taylor,,English,USA,G,2280000,1940,7.8
Boom Town ,Jack Conway,119,,Adventure|Drama|Romance|Western,Hedy Lamarr,Spencer Tracy,Claudette Colbert,English,USA,Passed,1614000,1940,7.1
Rebecca ,Alfred Hitchcock,130,,Drama|Film-Noir|Mystery|Thriller,Laurence Olivier,Joan Fontaine,George Sanders,English,USA,Not Rated,1288000,1940,8.2
The Blue Bird ,Walter Lang,83,,Drama|Family|Fantasy,Spring Byington,Nigel Bruce,Gale Sondergaard,English,USA,Approved,,1940,6.5
